id,city_id,line_id,name,lat,lng,order
61.398,135,61,Derzhprom,50.004797,36.231571,4
61.399,135,61,"Arkhitektora Beketova",49.998966,36.240518,5
61.400,135,61,"Ploshcha Povstannia",49.988652,36.264808,6
61.401,135,61,"Metrobudivnykiv Imeni H.I. Vashchenko",49.978915,36.262823,7
64.430,160,64,"Raiymbek Batyr",43.271201,76.9448,0
64.431,160,64,"Zhibek Zholy",43.260199,76.946103,1
64.432,160,64,Almaly,43.251295,76.945456,2
64.433,160,64,Abay,43.242548,76.949588,3
64.434,160,64,Baikonur,43.240401,76.927696,4
64.435,160,64,"Auezov Theater",43.240362,76.917519,5
64.436,160,64,Alatau,43.239041,76.897612,6
64.510,160,64,Sayran,43.2362,76.8764,7
64.511,160,64,Moscow,43.23,76.867,8
8.189,1,8,Novokosino,55.745113,37.864052,0
8.88,1,8,Novogireevo,55.752237,37.814587,1
8.107,1,8,Perovo,55.75098,37.78422,2
8.158,1,8,"Shosse Entuziastov",55.75809,37.751703,3
8.1,1,8,Aviamotornaya,55.751933,37.717444,4
8.112,1,8,"Ploschad Il'icha",55.747115,37.680726,5
8.78,1,8,Marksistskaya,55.740746,37.65604,6
8.91,1,8,"Tret'yakovskaya",55.741125,37.626142,7
2.558,1,2,Khovrino,55.8777,37.4877,0
2.674,1,2,Belomorskaya,55.8651,37.4764,1
2.125,1,2,"Rechnoy Vokzal",55.854152,37.476728,2
2.29,1,2,"Vodny Stadion",55.838978,37.487515,3
2.30,1,2,Voykovskaya,55.818923,37.497791,4
2.133,1,2,Sokol,55.805564,37.515245,5
2.12,1,2,Aeroport,55.800441,37.530477,6
2.34,1,2,Dinamo,55.789704,37.558212,7
2.19,1,2,Belorusskaya,55.777439,37.582107,8
2.80,1,2,Mayakovskaya,55.769808,37.596192,9
2.122,1,2,Tverskaya,55.765343,37.603918,10
2.99,1,2,Teatralnaya,55.758808,37.61768,11
2.89,1,2,Novokuznetskaya,55.742391,37.62928,12
2.101,1,2,Paveletskaya,55.729741,37.638693,13
2.2,1,2,Avtozavodskaya,55.706634,37.657008,14
2.512,1,2,Tekhnopark,55.695,37.664167,15
2.53,1,2,Kolomenskaya,55.677423,37.663719,16
2.45,1,2,Kashirskaya,55.655745,37.649683,17
2.42,1,2,Kantemirovskaya,55.636107,37.656218,18
2.153,1,2,Tsaritsyno,55.620982,37.669612,19
2.96,1,2,Orekhovo,55.61269,37.695214,20
2.38,1,2,Domodedovskaya,55.610131,37.717111,21
2.57,1,2,Krasnogvardeyskaya,55.614075,37.742697,22
2.257,1,2,Alma-Atinskaya,55.63349,37.765678,23
6.81,1,6,Medvedkovo,55.888103,37.661562,0
6.13,1,6,Babushkinskaya,55.870641,37.664341,1
6.129,1,6,Sviblovo,55.855558,37.653379,2
6.24,1,6,"Botanichesky Sad",55.844597,37.637811,3
6.27,1,6,VDNKh,55.819626,37.640751,4
6.8,1,6,Alexeevskaya,55.807794,37.638699,5
6.126,1,6,Rizhskaya,55.792494,37.636114,6
6.120,1,6,"Prospekt Mira",55.781827,37.633199,7
6.137,1,6,Sukharevskaya,55.772315,37.63285,8
6.144,1,6,Turgenevskaya,55.765371,37.636732,9
6.50,1,6,Kitay-gorod,55.756498,37.631326,10
6.90,1,6,"Tret'yakovskaya",55.74073,37.625624,11
6.94,1,6,"Oktyabr'skaya",55.731232,37.612851,12
6.157,1,6,Shabolovskaya,55.718828,37.607892,13
6.74,1,6,"Leninskiy Prospekt",55.70678,37.58499,14
